Scenario,Feature Combo,Model,Channel,Precision,Recall,F1 Score,Accuracy
Healthy vs Patient,Graph_MI,Random Forest,15,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Graph_MI,XGBoost,15,0.5555555555555556,0.6111111111111112,0.5679012345679013,0.6111111111111112
Healthy vs Patient,Graph_MI,Random Forest,16,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs Patient,Graph_MI,XGBoost,16,0.803921568627451,0.7222222222222222,0.6469622331691297,0.7222222222222222
Healthy vs Patient,Graph_MI,Random Forest,17,0.4444444444444444,0.6666666666666666,0.5333333333333334,0.6666666666666666
Healthy vs Patient,Graph_MI,XGBoost,17,0.803921568627451,0.7222222222222222,0.6469622331691297,0.7222222222222222
Healthy vs Patient,Graph_MI,Random Forest,18,0.7000000000000001,0.6666666666666666,0.6753246753246753,0.6666666666666666
Healthy vs Patient,Graph_MI,XGBoost,18,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs AD,Graph_MI,Random Forest,0,0.6602564102564104,0.6153846153846154,0.6013986013986015,0.6153846153846154
Healthy vs AD,Graph_MI,XGBoost,0,0.31135531135531136,0.3076923076923077,0.3076923076923077,0.3076923076923077
Healthy vs AD,Graph_MI,Random Forest,1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,1,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,2,0.2153846153846154,0.3076923076923077,0.25339366515837103,0.3076923076923077
Healthy vs AD,Graph_MI,XGBoost,2,0.2153846153846154,0.3076923076923077,0.25339366515837103,0.3076923076923077
Healthy vs AD,Graph_MI,Random Forest,3,0.31135531135531136,0.3076923076923077,0.3076923076923077,0.3076923076923077
Healthy vs AD,Graph_MI,XGBoost,3,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs AD,Graph_MI,Random Forest,4,0.5244755244755245,0.5384615384615384,0.47435897435897434,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,4,0.5244755244755245,0.5384615384615384,0.47435897435897434,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,5,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Graph_MI,XGBoost,5,0.7730769230769231,0.7692307692307693,0.7664335664335665,0.7692307692307693
Healthy vs AD,Graph_MI,Random Forest,6,0.35470085470085466,0.38461538461538464,0.36153846153846153,0.38461538461538464
Healthy vs AD,Graph_MI,XGBoost,6,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,7,0.28994082840236685,0.5384615384615384,0.37692307692307686,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,7,0.28994082840236685,0.5384615384615384,0.37692307692307686,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,8,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Graph_MI,XGBoost,8,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Graph_MI,Random Forest,9,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Graph_MI,XGBoost,9,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Graph_MI,Random Forest,10,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,10,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,11,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs AD,Graph_MI,XGBoost,11,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Graph_MI,Random Forest,12,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Graph_MI,XGBoost,12,0.7756410256410257,0.6153846153846154,0.5286292654713708,0.6153846153846154
Healthy vs AD,Graph_MI,Random Forest,13,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Graph_MI,XGBoost,13,0.6227106227106227,0.6153846153846154,0.6153846153846154,0.6153846153846154
Healthy vs AD,Graph_MI,Random Forest,14,0.5299145299145299,0.5384615384615384,0.5211538461538462,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,14,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464
Healthy vs AD,Graph_MI,Random Forest,15,0.24475524475524474,0.38461538461538464,0.2991452991452992,0.38461538461538464
Healthy vs AD,Graph_MI,XGBoost,15,0.24475524475524474,0.38461538461538464,0.2991452991452992,0.38461538461538464
Healthy vs AD,Graph_MI,Random Forest,16,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Graph_MI,XGBoost,16,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs AD,Graph_MI,Random Forest,17,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Graph_MI,XGBoost,17,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384
Healthy vs AD,Graph_MI,Random Forest,18,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs AD,Graph_MI,XGBoost,18,0.46703296703296704,0.46153846153846156,0.46153846153846156,0.46153846153846156
Healthy vs FTD,Graph_MI,Random Forest,0,0.47474747474747475,0.45454545454545453,0.39610389610389607,0.45454545454545453
Healthy vs FTD,Graph_MI,XGBoost,0,0.5909090909090909,0.5454545454545454,0.5221445221445221,0.5454545454545454
Healthy vs FTD,Graph_MI,Random Forest,1,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Graph_MI,XGBoost,1,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.7272727272727273
Healthy vs FTD,Graph_MI,Random Forest,2,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Graph_MI,XGBoost,2,0.18484848484848485,0.18181818181818182,0.18181818181818182,0.18181818181818182
Healthy vs FTD,Graph_MI,Random Forest,3,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,3,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.5454545454545454
Healthy vs FTD,Graph_MI,Random Forest,4,0.538961038961039,0.5454545454545454,0.5376845376845377,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,4,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Healthy vs FTD,Graph_MI,Random Forest,5,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,5,0.29752066115702475,0.5454545454545454,0.3850267379679144,0.5454545454545454
Healthy vs FTD,Graph_MI,Random Forest,6,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,6,0.5303030303030304,0.5454545454545454,0.4935064935064935,0.5454545454545454
Healthy vs FTD,Graph_MI,Random Forest,7,0.5545454545454546,0.5454545454545454,0.5454545454545454,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,7,0.46753246753246747,0.45454545454545453,0.4454545454545455,0.45454545454545453
Healthy vs FTD,Graph_MI,Random Forest,8,0.18484848484848485,0.18181818181818182,0.18181818181818182,0.18181818181818182
Healthy vs FTD,Graph_MI,XGBoost,8,0.2662337662337662,0.2727272727272727,0.2606060606060606,0.2727272727272727
Healthy vs FTD,Graph_MI,Random Forest,9,0.47474747474747475,0.45454545454545453,0.39610389610389607,0.45454545454545453
Healthy vs FTD,Graph_MI,XGBoost,9,0.46753246753246747,0.45454545454545453,0.4454545454545455,0.45454545454545453
Healthy vs FTD,Graph_MI,Random Forest,10,0.5545454545454546,0.5454545454545454,0.5454545454545454,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,10,0.3522727272727273,0.36363636363636365,0.33100233100233106,0.36363636363636365
Healthy vs FTD,Graph_MI,Random Forest,11,0.5545454545454546,0.5454545454545454,0.5454545454545454,0.5454545454545454
Healthy vs FTD,Graph_MI,XGBoost,11,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
Healthy vs FTD,Graph_MI,Random Forest,12,0.6439393939393939,0.6363636363636364,0.6168831168831169,0.6363636363636364
Healthy vs FTD,Graph_MI,XGBoost,12,0.8181818181818182,0.7272727272727273,0.6961038961038961,0.7272727272727273
Healthy vs FTD,Graph_MI,Random Forest,13,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
Healthy vs FTD,Graph_MI,XGBoost,13,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Graph_MI,Random Forest,14,0.3474025974025974,0.36363636363636365,0.35275835275835277,0.36363636363636365
Healthy vs FTD,Graph_MI,XGBoost,14,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
Healthy vs FTD,Graph_MI,Random Forest,15,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182
Healthy vs FTD,Graph_MI,XGBoost,15,0.7393939393939394,0.7272727272727273,0.7272727272727273,0.7272727272727273
Healthy vs FTD,Graph_MI,Random Forest,16,0.2662337662337662,0.2727272727272727,0.2606060606060606,0.2727272727272727
Healthy vs FTD,Graph_MI,XGBoost,16,0.3696969696969697,0.36363636363636365,0.36363636363636365,0.36363636363636365
Healthy vs FTD,Graph_MI,Random Forest,17,0.4242424242424242,0.45454545454545453,0.4253246753246753,0.45454545454545453
Healthy vs FTD,Graph_MI,XGBoost,17,0.7818181818181817,0.6363636363636364,0.5606060606060606,0.6363636363636364
Healthy vs FTD,Graph_MI,Random Forest,18,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6363636363636364
Healthy vs FTD,Graph_MI,XGBoost,18,0.538961038961039,0.5454545454545454,0.5376845376845377,0.5454545454545454
AD vs FTD,Graph_MI,Random Forest,0,0.21875,0.25,0.23333333333333336,0.25
AD vs FTD,Graph_MI,XGBoost,0,0.21875,0.25,0.23333333333333336,0.25
AD vs FTD,Graph_MI,Random Forest,1,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,1,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Graph_MI,Random Forest,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,XGBoost,2,0.5972222222222222,0.5833333333333334,0.5862470862470862,0.5833333333333334
AD vs FTD,Graph_MI,Random Forest,3,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
AD vs FTD,Graph_MI,XGBoost,3,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
AD vs FTD,Graph_MI,Random Forest,4,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,4,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Graph_MI,Random Forest,5,0.7878787878787877,0.6666666666666666,0.5925925925925926,0.6666666666666666
AD vs FTD,Graph_MI,XGBoost,5,0.8249999999999998,0.75,0.7184873949579832,0.75
AD vs FTD,Graph_MI,Random Forest,6,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Graph_MI,XGBoost,6,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Graph_MI,Random Forest,7,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,7,0.3181818181818182,0.5,0.38888888888888884,0.5
AD vs FTD,Graph_MI,Random Forest,8,0.5,0.5,0.5,0.5
AD vs FTD,Graph_MI,XGBoost,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,Random Forest,9,0.46296296296296297,0.5,0.46875,0.5
AD vs FTD,Graph_MI,XGBoost,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,Random Forest,10,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
AD vs FTD,Graph_MI,XGBoost,10,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.6666666666666666
AD vs FTD,Graph_MI,Random Forest,11,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
AD vs FTD,Graph_MI,XGBoost,11,0.5,0.5,0.5,0.5
AD vs FTD,Graph_MI,Random Forest,12,0.5285714285714286,0.5,0.5,0.5
AD vs FTD,Graph_MI,XGBoost,12,0.5,0.5,0.5,0.5
AD vs FTD,Graph_MI,Random Forest,13,0.3181818181818182,0.5,0.38888888888888884,0.5
AD vs FTD,Graph_MI,XGBoost,13,0.3181818181818182,0.5,0.38888888888888884,0.5
AD vs FTD,Graph_MI,Random Forest,14,0.5972222222222222,0.5833333333333334,0.5862470862470862,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,14,0.5285714285714286,0.5,0.5,0.5
AD vs FTD,Graph_MI,Random Forest,15,0.5583333333333333,0.5833333333333334,0.530812324929972,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,15,0.3181818181818182,0.5,0.38888888888888884,0.5
AD vs FTD,Graph_MI,Random Forest,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,XGBoost,16,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,Random Forest,17,0.5729166666666666,0.5833333333333334,0.5740740740740741,0.5833333333333334
AD vs FTD,Graph_MI,XGBoost,17,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
AD vs FTD,Graph_MI,Random Forest,18,0.5285714285714286,0.5,0.5,0.5
AD vs FTD,Graph_MI,XGBoost,18,0.3958333333333333,0.4166666666666667,0.40370370370370373,0.4166666666666667
AD Male vs Female,Graph_MI,Random Forest,0,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,XGBoost,0,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,Random Forest,1,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,XGBoost,1,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,Random Forest,2,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,XGBoost,2,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,Random Forest,3,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Graph_MI,XGBoost,3,0.75,0.75,0.75,0.75
AD Male vs Female,Graph_MI,Random Forest,4,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,XGBoost,4,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,Random Forest,5,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,XGBoost,5,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Graph_MI,Random Forest,6,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,XGBoost,6,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Graph_MI,Random Forest,7,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,XGBoost,7,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,Random Forest,8,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Graph_MI,XGBoost,8,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,Random Forest,9,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,XGBoost,9,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,Random Forest,10,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,XGBoost,10,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,Random Forest,11,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,XGBoost,11,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,Random Forest,12,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,XGBoost,12,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,Random Forest,13,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,XGBoost,13,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,Random Forest,14,0.3125,0.375,0.3409090909090909,0.375
AD Male vs Female,Graph_MI,XGBoost,14,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,Random Forest,15,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,XGBoost,15,0.3571428571428571,0.5,0.41666666666666663,0.5
AD Male vs Female,Graph_MI,Random Forest,16,0.6041666666666666,0.625,0.6045454545454546,0.625
AD Male vs Female,Graph_MI,XGBoost,16,0.5,0.5,0.5,0.5
AD Male vs Female,Graph_MI,Random Forest,17,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,XGBoost,17,0.390625,0.625,0.4807692307692308,0.625
AD Male vs Female,Graph_MI,Random Forest,18,0.8214285714285714,0.75,0.7083333333333334,0.75
AD Male vs Female,Graph_MI,XGBoost,18,0.390625,0.625,0.4807692307692308,0.625
FTD Male vs Female,Graph_MI,Random Forest,0,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,XGBoost,0,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,Random Forest,1,0.2,0.2,0.2,0.2
FTD Male vs Female,Graph_MI,XGBoost,1,0.2,0.2,0.2,0.2
FTD Male vs Female,Graph_MI,Random Forest,2,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,XGBoost,2,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,Random Forest,3,0.6,0.6,0.6,0.6
FTD Male vs Female,Graph_MI,XGBoost,3,0.8,0.6,0.5666666666666667,0.6
FTD Male vs Female,Graph_MI,Random Forest,4,0.6,0.6,0.6,0.6
FTD Male vs Female,Graph_MI,XGBoost,4,1.0,1.0,1.0,1.0
FTD Male vs Female,Graph_MI,Random Forest,5,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,XGBoost,5,0.2,0.2,0.2,0.2
FTD Male vs Female,Graph_MI,Random Forest,6,0.6,0.6,0.6,0.6
FTD Male vs Female,Graph_MI,XGBoost,6,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,Random Forest,7,1.0,1.0,1.0,1.0
FTD Male vs Female,Graph_MI,XGBoost,7,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,Random Forest,8,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,XGBoost,8,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,Random Forest,9,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Graph_MI,XGBoost,9,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,Random Forest,10,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Graph_MI,XGBoost,10,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Graph_MI,Random Forest,11,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Graph_MI,XGBoost,11,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,Random Forest,12,0.4333333333333333,0.4,0.4,0.4
FTD Male vs Female,Graph_MI,XGBoost,12,0.2,0.2,0.2,0.2
FTD Male vs Female,Graph_MI,Random Forest,13,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Graph_MI,XGBoost,13,0.85,0.8,0.7809523809523808,0.8
FTD Male vs Female,Graph_MI,Random Forest,14,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,XGBoost,14,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,Random Forest,15,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,XGBoost,15,0.3,0.4,0.34285714285714286,0.4
FTD Male vs Female,Graph_MI,Random Forest,16,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,XGBoost,16,0.36,0.6,0.45,0.6
FTD Male vs Female,Graph_MI,Random Forest,17,1.0,1.0,1.0,1.0
FTD Male vs Female,Graph_MI,XGBoost,17,1.0,1.0,1.0,1.0
FTD Male vs Female,Graph_MI,Random Forest,18,0.6,0.6,0.6,0.6
FTD Male vs Female,Graph_MI,XGBoost,18,0.36,0.6,0.45,0.6
Healthy vs Patient,Graph_PLV,Random Forest,0,0.5194805194805194,0.5,0.508361204013378,0.5
Healthy vs Patient,Graph_PLV,XGBoost,0,0.5194805194805194,0.5,0.508361204013378,0.5
Healthy vs Patient,Graph_PLV,Random Forest,1,0.711111111111111,0.7222222222222222,0.691358024691358,0.7222222222222222
Healthy vs Patient,Graph_PLV,XGBoost,1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
Healthy vs Patient,Graph_PLV,Random Forest,2,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
Healthy vs Patient,Graph_PLV,XGBoost,2,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Graph_PLV,Random Forest,3,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Graph_PLV,XGBoost,3,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Graph_PLV,Random Forest,4,0.5948717948717949,0.6111111111111112,0.6012121212121212,0.6111111111111112
Healthy vs Patient,Graph_PLV,XGBoost,4,0.6277056277056277,0.6111111111111112,0.6176142697881828,0.6111111111111112
Healthy vs Patient,Graph_PLV,Random Forest,5,0.8307692307692308,0.8333333333333334,0.8290909090909091,0.8333333333333334
Healthy vs Patient,Graph_PLV,XGBoost,5,0.7738095238095238,0.7777777777777778,0.764102564102564,0.7777777777777778
Healthy vs Patient,Graph_PLV,Random Forest,6,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Graph_PLV,XGBoost,6,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,Graph_PLV,Random Forest,7,0.5974025974025974,0.5,0.5077399380804953,0.5
Healthy vs Patient,Graph_PLV,XGBoost,7,0.5555555555555556,0.5,0.5142857142857142,0.5
Healthy vs Patient,Graph_PLV,Random Forest,8,0.43137254901960786,0.6111111111111112,0.5057471264367815,0.6111111111111112
Healthy vs Patient,Graph_PLV,XGBoost,8,0.38095238095238093,0.4444444444444444,0.4102564102564103,0.4444444444444444
Healthy vs Patient,Graph_PLV,Random Forest,9,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Graph_PLV,XGBoost,9,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Graph_PLV,Random Forest,10,0.511904761904762,0.5555555555555556,0.5282051282051281,0.5555555555555556
Healthy vs Patient,Graph_PLV,XGBoost,10,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Graph_PLV,Random Forest,11,0.476923076923077,0.5,0.4872727272727272,0.5
Healthy vs Patient,Graph_PLV,XGBoost,11,0.6428571428571428,0.6666666666666666,0.6461538461538462,0.6666666666666666
Healthy vs Patient,Graph_PLV,Random Forest,12,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Graph_PLV,XGBoost,12,0.625,0.6666666666666666,0.6071428571428572,0.6666666666666666
Healthy vs Patient,Graph_PLV,Random Forest,13,0.39999999999999997,0.5,0.4444444444444444,0.5
Healthy vs Patient,Graph_PLV,XGBoost,13,0.39999999999999997,0.5,0.4444444444444444,0.5
Healthy vs Patient,Graph_PLV,Random Forest,14,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
Healthy vs Patient,Graph_PLV,XGBoost,14,0.38095238095238093,0.4444444444444444,0.4102564102564103,0.4444444444444444
Healthy vs Patient,Graph_PLV,Random Forest,15,0.358974358974359,0.3888888888888889,0.37333333333333335,0.3888888888888889
Healthy vs Patient,Graph_PLV,XGBoost,15,0.358974358974359,0.3888888888888889,0.37333333333333335,0.3888888888888889
Healthy vs Patient,Graph_PLV,Random Forest,16,0.358974358974359,0.3888888888888889,0.37333333333333335,0.3888888888888889
Healthy vs Patient,Graph_PLV,XGBoost,16,0.38095238095238093,0.4444444444444444,0.4102564102564103,0.4444444444444444
Healthy vs Patient,Graph_PLV,Random Forest,17,0.5916666666666666,0.5555555555555556,0.5670995670995671,0.5555555555555556
Healthy vs Patient,Graph_PLV,XGBoost,17,0.5916666666666666,0.5555555555555556,0.5670995670995671,0.5555555555555556
Healthy vs Patient,Graph_PLV,Random Forest,18,0.6666666666666666,0.6111111111111112,0.6222222222222222,0.6111111111111112
Healthy vs Patient,Graph_PLV,XGBoost,18,0.7000000000000001,0.6666666666666666,0.6753246753246753,0.6666666666666666
Healthy vs AD,Graph_PLV,Random Forest,0,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Graph_PLV,XGBoost,0,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Graph_PLV,Random Forest,1,0.47435897435897434,0.46153846153846156,0.441958041958042,0.46153846153846156
Healthy vs AD,Graph_PLV,XGBoost,1,0.47902097902097895,0.46153846153846156,0.3911513323278029,0.46153846153846156
Healthy vs AD,Graph_PLV,Random Forest,2,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Graph_PLV,XGBoost,2,0.35470085470085466,0.38461538461538464,0.36153846153846153,0.38461538461538464
Healthy vs AD,Graph_PLV,Random Forest,3,0.5244755244755245,0.5384615384615384,0.47435897435897434,0.5384615384615384
Healthy vs AD,Graph_PLV,XGBoost,3,0.5244755244755245,0.5384615384615384,0.47435897435897434,0.5384615384615384
Healthy vs AD,Graph_PLV,Random Forest,4,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
Healthy vs AD,Graph_PLV,XGBoost,4,0.6134615384615384,0.6153846153846154,0.6107226107226107,0.6153846153846154
Healthy vs AD,Graph_PLV,Random Forest,5,0.6602564102564104,0.6153846153846154,0.6013986013986015,0.6153846153846154
Healthy vs AD,Graph_PLV,XGBoost,5,0.3884615384615385,0.38461538461538464,0.3772893772893772,0.38461538461538464
Healthy vs AD,Graph_PLV,Random Forest,6,0.4538461538461539,0.46153846153846156,0.455011655011655,0.46153846153846156
Healthy vs AD,Graph_PLV,XGBoost,6,0.6307692307692307,0.6153846153846154,0.5852187028657616,0.6153846153846154
Healthy vs AD,Graph_PLV,Random Forest,7,0.35470085470085466,0.38461538461538464,0.36153846153846153,0.38461538461538464
Healthy vs AD,Graph_PLV,XGBoost,7,0.35470085470085466,0.38461538461538464,0.36153846153846153,0.38461538461538464
Healthy vs AD,Graph_PLV,Random Forest,8,0.5538461538461539,0.5384615384615384,0.532967032967033,0.5384615384615384
Healthy vs AD,Graph_PLV,XGBoost,8,0.47435897435897434,0.46153846153846156,0.441958041958042,0.46153846153846156
Healthy vs AD,Graph_PLV,Random Forest,9,0.7051282051282051,0.6923076923076923,0.6807692307692308,0.6923076923076923
Healthy vs AD,Graph_PLV,XGBoost,9,0.4230769230769231,0.46153846153846156,0.4193061840120664,0.46153846153846156
